Número da Compra;Número do Item;Descrição;Descrição Detalhada;Unidade;Qtd. Autorizada;Fornecedor;Val. Unitário;Qtd. Saldo;Marca;Tipo de Compra;Número do Pregão;Ano do Pregão;UASG;Objeto;Unidade de Fornecimento;UG;Quantidade Empenhada;Início da Vigência;Fim da Vigência;Capacidade de Empenho
160077-90002/2024;1;608652 - Módulo de trabalho;"Módulo De Trabalho Material: Mdp 25mm , Dimensões Mesa Escritório: 1,60 X 1,60 X 0,74 M, Características Adicionais: Tampo Em ""L"" , Revestimento: Laminado Melamínico , Tipo Conexão Mesas: Angular Arredondada De 90° , Composição: Painel Frontal Em Mdp 18mm, Calhas Estruturais Em , Cor: Jequitibá Rosa , Altura: 740 MM, Aplicação: Mesa De Trabalho.";160077 - COLEGIO MILITAR DE CURITIBA;5;03.042.841/0001-50 - M DO C M OLIVEIRA MOVEIS;640.0;5.0;LINHA PAINEL;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;3200.0
160077-90002/2024;2;460885 - Mesa escritório;Mesa Escritório Material Estrutura: Tubo Metálico , Material Tampo: Mdf , Revestimento Tampo: Laminado Melamínico , Cor Tampo: Cinza , Largura: 1,40 M, Profundidade: 0,60 M, Altura: 0,75 M, Cor Estrutura: Cinza , Acabamento Estrutura: Pintado;160077 - COLEGIO MILITAR DE CURITIBA;5;03.042.841/0001-50 - M DO C M OLIVEIRA MOVEIS;350.0;5.0;LINHA PAINEL;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;1750.0
160077-90002/2024;3;604361 - Armário escritório;Armário Escritório Material: Mdf , Quantidade Prateleiras: 1 UN, Revestimento: Laminado Melamínico , Largura: 80 CM, Altura: 66 CM, Profundidade: 50 C;160077 - COLEGIO MILITAR DE CURITIBA;5;03.042.841/0001-50 - M DO C M OLIVEIRA MOVEIS;330.0;5.0;LINHA PAINEL;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;1650.0
160077-90002/2024;4;266329 - Armário escritório;Armário Escritório Material: Madeira Aglomerada , Quantidade Portas: 2 UN, Material Porta: Aglomerado De Alta Densidade , Tipo Portas: Com Dobradiça E Fechadura , Quantidade Prateleiras: 3 UN, Material Prateleiras: Madeira Aglomerada Alta Densidade , Tipo Puxador: Metálico/Polipropileno , Tratamento Superficial: Post Forming , Revestimento: Laminado Melamínico , Largura: 800 MM, Altura: 1600 MM, Características Adicionais: Prateleiras Reguláveis, Com 1 Suporte Para Pasta S , Profundidade: 500 MM, Localização Porta(S): 02 Frontais , Acabamento Superficial: Laminado Melamínico , Cor: Argila , Tipo: Alto , Espessura Tampo: 28 M;160077 - COLEGIO MILITAR DE CURITIBA;5;03.042.841/0001-50 - M DO C M OLIVEIRA MOVEIS;650.0;5.0;LINHA PAINEL;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;3250.0
160077-90002/2024;5;446442 - Gaveteiro móvel;Gaveteiro Móvel Material: Madeira Mdp , Tipo Revestimento: Laminado Melamínico Baixa Pressão , Quantidade Gavetas: 4 UN, Altura: 670 MM, Largura: 400 MM, Profundidade: 460 MM, Características Adicionais: Bordas De Pvc, Puxadores Meia Lua;160077 - COLEGIO MILITAR DE CURITIBA;10;03.042.841/0001-50 - M DO C M OLIVEIRA MOVEIS;384.0;10.0;LINHA MEGASOFT;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;3840.0
160077-90002/2024;6;445766 - Mesa reunião retangular;Mesa Reunião Retangular Material: Madeira Aglomerada Mdp , Comprimento: 2,00 M, Largura: 1.100 MM, Altura: 740 MM, Cor: Argila , Revestimento: Laminado Melamínico , Tipo Estrutura: Aço Galvanizado , Material Borda Lateral: Pvc , Espessura Tampo: 25 M;160077 - COLEGIO MILITAR DE CURITIBA;1;03.042.841/0001-50 - M DO C M OLIVEIRA MOVEIS;721.0;1.0;LINHA PAINEL;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;721.0
160077-90002/2024;16;296581 - Armário;Armário Material: Madeira Mdf , Tipo: Escaninho , Acabamento Superficial: Laminado Melamínico , Cor: Argila , Características Adicionais: Com 15 Escaninhos;160077 - COLEGIO MILITAR DE CURITIBA;10;49.327.739/0001-00 - I.M DE SALES LOPES COMERCIO;698.0;10.0;ARM - COMEIA;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;6980.0
160077-90002/2024;17;207093 - Biombo;Biombo Material: Madeira , Quantidade Módulos: 3 UN, Largura Módulo: 40 CM, Espessura Módulo: 2 CM, Altura Módulo: 1,70 C;160077 - COLEGIO MILITAR DE CURITIBA;10;34.766.440/0001-76 - IDEIA EDUCATIVA LTDA;450.5;10.0;Biombo;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;4505.0
160077-90002/2024;19;230901 - Poltrona;Poltrona Material Estrutura: Tubo Aço E Compensado Madeira , Material Assento E Encosto: Espuma Poliuretano Injetado , Acabamento Superficial Estrutura: Pintura Em Epóxi , Material Revestimento Assento E Encosto: Tecido 100% Poliéster;160077 - COLEGIO MILITAR DE CURITIBA;1;32.555.204/0001-85 - SOLLE MOBILE E DESIGN COMERCIO DE MOVEIS LTDA;1900.0;1.0;Atenas Especial;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;1900.0
160077-90002/2024;20;473038 - Sofá;Sofá Material Estrutura: Aço Tubular , Material Estofamento: Espuma Poliuretano , Revestimento: Couro Ecológico , Cor: Preta , Características Adicionais: Espuma Densidade Mínima 33kg/M3 , Quantidade Assentos: 3 UN, Largura: 180 CM, Profundidade: 70 CM, Altura: 70 C;160077 - COLEGIO MILITAR DE CURITIBA;2;47.509.554/0001-82 - UBEFLEX COMERCIO LTDA;2784.0;2.0;Sofá tipo poltrona t;Participante;90002;2024;160077 - COLEGIO MILITAR DE CURITIBA;O objeto da presente licitação é a escolha da proposta mais vantajosa para a aquisição de Material de Mobiliário em Geral para o Colégio Militar de Curitiba e Organizações Militares participantes do CCALC, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;Unidade;160077;0.0;;14/08/2025;5568.0
